"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.356377"	"lymph"	3.1e-14	4.044906402	"dbEST"
"Hs.478481"	"lymph"	2.93e-14	4.600139889	"dbEST"
"Hs.23413"	"lymph"	1.06e-14	5.537524436	"dbEST"
"Hs.319334"	"lymph"	7.83e-15	4.086331589	"dbEST"
"Hs.592338"	"lymph"	7.5e-15	5.098615064	"dbEST"
"Hs.325838"	"lymph"	7.47e-15	5.662563774	"dbEST"
"Hs.494261"	"lymph"	6.42e-15	4.618249497	"dbEST"
"Hs.720177"	"lymph"	6.17e-15	4.638661916	"dbEST"
"Hs.657543"	"lymph"	6.16e-15	6.139550262	"dbEST"
"Hs.271940"	"lymph"	5.33e-15	4.783198769	"dbEST"
"Hs.368794"	"lymph"	3.61e-15	6.348144635	"dbEST"
"Hs.29282"	"lymph"	3.2e-15	5.70986072	"dbEST"
"Hs.9754"	"lymph"	2.62e-15	4.346450424	"dbEST"
"Hs.534460"	"lymph"	2.54e-15	6.003184228	"dbEST"
"Hs.371914"	"lymph"	1.22e-15	5.051826156	"dbEST"
"Hs.726365"	"lymph"	9.37e-16	5.167100925	"dbEST"
"Hs.437705"	"lymph"	7.63e-16	6.645283332	"dbEST"
"Hs.155742"	"lymph"	5.21e-16	4.843969253	"dbEST"
"Hs.533013"	"lymph"	1.79e-16	4.963233993	"dbEST"
"Hs.377010"	"lymph"	1.61e-16	4.036171355	"dbEST"
"Hs.571037"	"lymph"	1.06e-16	4.23206525	"dbEST"
"Hs.468840"	"lymph"	8.32e-17	4.078917998	"dbEST"
"Hs.351118"	"lymph"	7.92e-17	6.809648867	"dbEST"
"Hs.95424"	"lymph"	6.58e-17	4.016624446	"dbEST"
"Hs.458320"	"lymph"	4.76e-17	4.651571529	"dbEST"
"Hs.170999"	"lymph"	2.76e-17	5.027058621	"dbEST"
"Hs.728286"	"lymph"	1.93e-17	4.523365231	"dbEST"
"Hs.513883"	"lymph"	1.66e-17	5.641171134	"dbEST"
"Hs.528693"	"lymph"	1.61e-17	6.12233478	"dbEST"
"Hs.83634"	"lymph"	1.19e-17	5.87378129	"dbEST"
"Hs.75318"	"lymph"	1.18e-17	4.542485264	"dbEST"
"Hs.236361"	"lymph"	4.21e-18	4.030023146	"dbEST"
"Hs.372152"	"lymph"	1.72e-18	5.007914755	"dbEST"
"Hs.648101"	"lymph"	7.61e-19	4.071179942	"dbEST"
"Hs.149957"	"lymph"	5.58e-19	5.611563507	"dbEST"
"Hs.525536"	"lymph"	3.16e-20	6.077756071	"dbEST"
"Hs.497512"	"lymph"	2.55e-20	6.672972393	"dbEST"
"Hs.360940"	"lymph"	1.3e-20	4.959696144	"dbEST"
"Hs.239"	"lymph"	1.06e-20	5.815105774	"dbEST"
"Hs.140452"	"lymph"	8.43e-21	4.231257956	"dbEST"
