unigeneid	genename
Hs.12319	ALS2CR4
Hs.12400	TMEM90A
Hs.12409	SST
Hs.12513	LOC157627
Hs.12513	LOC157627
Hs.12692	LRRC49
Hs.12692	LRRC49
Hs.12751	GPR26
Hs.12844	EGFL6
Hs.12865	NSFL1C
Hs.12907	CYP2E1
Hs.12956	TAX1BP3
Hs.12967	SYNE1
Hs.13024	MMACHC
Hs.13188	ABCC6P1
Hs.13225	B4GALT4
Hs.13261	BAI3
Hs.13285	KCNV1
Hs.13528	C5orf23
Hs.13640	ROBO1
Hs.13742	LOC729810
Hs.13768	CACNA2D4
Hs.13861	KCNU1
Hs.13872	CYTL1
Hs.14070	CCNJL
Hs.14468	P2RY11
Hs.14468	P2RY11
Hs.14601	HCLS1
Hs.14611	DUSP11
Hs.14623	IFI30
Hs.14637	NAT8
Hs.14794	ZFP28
Hs.16059	CCDC56
Hs.16362	P2RY6
Hs.16529	TSPAN12
Hs.16606	CUTC
Hs.16757	GKN2
Hs.16970	C13orf30
Hs.17109	ITM2A
Hs.17250	COQ5
Hs.17267	C9orf93
Hs.17558	TMEM139
Hs.17572	KLRG2
Hs.17589	FLJ40852
Hs.17958	GAL3ST1
Hs.18048	MAGEA10
Hs.18166	DENND3
Hs.18616	NCAPG2
Hs.18631	MSL2
Hs.18844	PCSK9
Hs.18889	SEC31B
Hs.18912	CCDC17
Hs.18946	MRPS26
Hs.19192	CDK2
Hs.19193	LOC400043
Hs.19383	AGT
Hs.19400	MAD2L2
Hs.19404	ASB9
Hs.19413	S100A12
Hs.19699	NPRL3
Hs.20000	ERI1
Hs.20021	VAMP1
Hs.20315	IFIT1
Hs.20447	PAK4
Hs.20506	ZNF677
Hs.20716	TIMM17A
Hs.20848	WDSUB1
Hs.21016	COCH
Hs.21081	CCDC121
Hs.21160	ME1
Hs.21162	RTBDN
Hs.21239	RPH3A
Hs.21334	NAGPA
Hs.21374	SNCA
Hs.21413	SLC12A5
Hs.21417	ZCCHC12
Hs.21754	SV2B
Hs.21837	SEZ6
Hs.21907	MYST2
Hs.21963	PSD2
Hs.22047	LOC388588
Hs.22111	IGSF1
Hs.22140	CEND1
Hs.22488	ZNF805
Hs.22500	PIK3C2G
Hs.22546	CYBASC3
Hs.22584	PDYN
Hs.22654	SCN1A
Hs.22678	C10orf2
Hs.22905	ARHGAP36
Hs.22960	BCAS2
Hs.23118	CA1
Hs.23158	FBXO41
Hs.23262	RNASE6
Hs.23413	ATAD3A
Hs.23616	LIN28B
Hs.23671	LGALS13
Hs.23735	KCNF1
Hs.24054	JAGN1
Hs.24167	VAMP7
Hs.24178	EML2
Hs.24236	LGALS14
Hs.24309	OLAH
Hs.24510	C4orf26
Hs.24553	STRA6
Hs.24557	RAB11FIP5
Hs.24601	FBLN1
Hs.24640	SEMA7A
Hs.24950	RGS5
Hs.24969	GABRA5
Hs.24976	ART3
Hs.24998	CCDC130
Hs.25022	GDF9
Hs.25130	POC1B
Hs.25155	NET1
Hs.25292	JUNB
Hs.25292	JUNB
Hs.25313	MCRS1
Hs.25338	PRSS23
Hs.25362	ARL5B
Hs.25441	KPTN
Hs.25527	TJP3
Hs.25674	MBD2
Hs.25766	WNT4
Hs.25960	MYCN
Hs.26047	CELF3
Hs.26216	TMEM37
Hs.26225	GABRP
Hs.26333	CCDC22
Hs.26593	HDAC10
Hs.26904	SEC63
Hs.27059	GMPPA
Hs.27092	CYS1
Hs.27222	NHP2
Hs.27267	TSPAN33
Hs.27283	GABRB1
Hs.27475	CYB5D1
Hs.27524	TMEM155
Hs.27788	ZNF488
Hs.28020	EPM2AIP1
Hs.28144	FSD1
Hs.28249	ZC4H2
Hs.28280	SLC35F4
Hs.28346	GCM1
Hs.28491	SAT1
Hs.28540	EXPH5
Hs.28659	CNIH3
Hs.28704	KRTAP26-1
Hs.29052	ANKRD49
Hs.29203	MLST8
Hs.29282	MAP3K3
Hs.29383	CCDC74B
Hs.29464	ETNK1
Hs.29549	CLEC1A
Hs.29665	CLSTN1
Hs.29698	CHFR
Hs.29742	ISM2
Hs.29764	WNT6
Hs.30345	TRAP1
Hs.30495	MRO
Hs.30824	LZTFL1
Hs.30868	RTN4R
Hs.30917	CREG2
Hs.31210	BCL3
Hs.31442	RECQL4
Hs.31746	SCRT1
Hs.31819	C1orf128
Hs.31961	SLC8A1
Hs.32018	SNAPIN
Hs.32417	C1orf116
Hs.32539	PAK7
Hs.32721	SAG
Hs.32763	GRIA2
Hs.32938	PDX1
Hs.32945	GRM1
Hs.32949	DEFB1
Hs.33102	TFAP2B
Hs.33187	KIAA0748
Hs.33191	UNC5A
Hs.33538	RP1L1
Hs.33922	C1orf156
Hs.33962	SNRNP40
Hs.34012	BRCA2
Hs.34114	ATP1A2
Hs.34494	AGXT2
Hs.34526	CXCR6
Hs.34780	DCX
Hs.34969	DLX6-AS1
Hs.35354	IGF2BP2
Hs.35804	HERC3
Hs.35937	MYF6
Hs.36053	C5orf13
Hs.36137	FOXA3
Hs.36972	CD7
Hs.36989	F7
Hs.36989	F7
Hs.37014	CA7
Hs.37035	MNX1
Hs.37044	PRPH
Hs.37045	PTH
Hs.37058	CALCA
Hs.37107	MAGEA4
Hs.37135	CRYBB1
Hs.37135	CRYBB1
Hs.37167	SGCG
Hs.37196	GPR176
Hs.37311	MESP2
Hs.37636	STOX1
Hs.37712	C14orf73
Hs.37860	KLF1
Hs.37883	C18orf21
Hs.37890	SLC5A9
Hs.38085	GLYATL1
Hs.39384	FJX1
Hs.40499	DKK1
Hs.41101	CCDC110
Hs.41119	OTOR
Hs.41423	LOC440149
Hs.41502	C14orf139
Hs.41690	DSC3
Hs.41707	HSPB3
Hs.41752	KRT32
Hs.42091	SCTR
Hs.42146	PAX3
Hs.42146	PAX3
Hs.42192	DKFZp686O1327
Hs.42215	PPP1R3D
Hs.43728	GPX7
Hs.43879	XAGE3
Hs.44070	SFXN2
Hs.44276	HOXC10
Hs.44277	LRRC39
Hs.44329	HERV-V1
Hs.44385	STON1
Hs.44640	C9orf21
Hs.44647	IFLTD1
Hs.45056	KLHL32
Hs.45127	CSPG5
Hs.45152	NEUROD6
Hs.45719	PPP1R16B
Hs.46275	CRYBA1
Hs.46296	NHLH2
Hs.46320	SPRR1A
Hs.46332	GPR6
Hs.46423	HIST1H4C
Hs.46423	HIST1H4C
Hs.46452	SCGB2A2
Hs.46453	GPR17
Hs.46627	NKAIN4
Hs.46627	NKAIN4
Hs.46835	IAPP
Hs.46884	PCSK4
Hs.47166	C3orf14
Hs.48353	LOC150166
Hs.48642	FAM164C
Hs.49322	DIO3
Hs.49407	REG1A
Hs.49421	WDR78
Hs.49614	GCET2
Hs.49774	PTPRM
Hs.49890	C8orf22
Hs.50002	CCL19
Hs.50098	NDUFA4
Hs.50223	RBP4
Hs.50334	C9orf24
Hs.50499	SPATA9
Hs.50550	KBTBD10
Hs.50640	SOCS1
Hs.50813	ITLN1
Hs.50868	SLC22A18
Hs.50915	KLK5
Hs.50915	KLK5
Hs.51120	CAMP
Hs.53985	GP2
Hs.54277	FAM50A
Hs.54415	CSN3
Hs.54470	ABCC8
Hs.54471	PDE6H
Hs.54473	NKX2-5
Hs.54517	FCN2
Hs.54649	SNRNP27
Hs.55150	CAPSL
Hs.55205	MYPN
Hs.55220	BAG2
Hs.55235	SMPD2
Hs.55279	SERPINB5
Hs.55412	KRT25
Hs.55682	EIF3D
Hs.55918	DHX58
Hs.55967	SHOX2
Hs.55999	NKX3-1
Hs.56279	CARD18
Hs.56281	ASB12
Hs.56729	LSP1
Hs.57687	FHL3
Hs.57690	CRYBA4
Hs.57718	CHRNA2
Hs.57973	CARD10
Hs.57975	CASQ2
Hs.58042	GFRA3
Hs.58149	C21orf119
Hs.58456	LOC729995
Hs.58586	C3orf79
Hs.58650	HHAT
Hs.58663	MFSD1
Hs.58685	CD5
Hs.59236	ANKRD27
Hs.59332	SPRED2
Hs.59584	DEM1
Hs.59719	DHRS7
Hs.59736	KRT28
Hs.59761	DAPL1
Hs.59804	SECISBP2
Hs.59889	HMGCS2
Hs.60300	ZNF622
Hs.61232	IL20RB
Hs.61255	FBP2
Hs.61265	FAM3D
Hs.61435	NBLA00301
Hs.61472	BOLA3
Hs.61504	LOC388630
Hs.61581	ARHGEF25
Hs.62192	F3
Hs.62275	GOLT1B
Hs.62492	SCGB3A1
Hs.62646	LOC100132735
Hs.62886	SPARCL1
Hs.63085	MPP4
Hs.63128	ZDHHC8
Hs.63290	HACL1
Hs.64173	ATP6V1B1
Hs.64341	LOC100126784
Hs.64746	CLIC3
Hs.65238	RNF40
Hs.65239	SCN4B
Hs.65551	C20orf114
Hs.65750	ZFR2
Hs.65765	FAM5C
Hs.66581	PDIA2
Hs.66739	KRT12
Hs.67397	HOXA1
Hs.67639	NUP210L
Hs.67726	MARCO
Hs.67846	LILRB4
Hs.67928	ELF3
Hs.68756	SMTNL1
Hs.68864	LIPH
Hs.68879	BMP4
Hs.69049	TTPA
Hs.69293	HEXB
Hs.69319	GKN1
Hs.69745	FDXR
Hs.69855	CSDE1
Hs.70312	COX7A2
Hs.70769	C6orf162
Hs.71040	AP1M1
Hs.71377	DUOX2
Hs.72222	FER1L4
Hs.72620	SPEF1
Hs.72885	AZU1
Hs.72910	CRYGC
Hs.73037	CNR2
Hs.73072	CCT6B
Hs.73172	GFI1
Hs.73172	GFI1
Hs.73722	APEX1
Hs.73769	FOLR1
Hs.73797	GNA15
Hs.73799	GNAI3
Hs.73809	ALOX15
Hs.73849	APOC3
Hs.73849	APOC3
Hs.73853	BMP2
Hs.73923	PNLIPRP1
Hs.73923	PNLIPRP1
Hs.73958	RAG1
Hs.73965	MFSD11
Hs.73982	ZP2
Hs.74124	GPR143
Hs.74368	CKAP4
Hs.74471	GJA1
Hs.74565	APLP1
Hs.75061	MARCKSL1
Hs.75227	NDUFA9
Hs.75256	RGS1
Hs.75285	ITIH2
Hs.75294	CRH
Hs.75307	H1FX
Hs.75318	TUBA4A
