unigeneid	genename
Hs.127792	DLL3
Hs.127799	BIRC3
Hs.127882	BOD1P
Hs.127897	RAPGEF1
Hs.127937	CLEC12B
Hs.127963	ZNF474
Hs.128060	FITM1
Hs.128067	WIPF1
Hs.128069	FAM187B
Hs.128071	LRRC19
Hs.128279	L3MBTL4
Hs.128292	IGDCC3
Hs.128326	C6orf221
Hs.128342	CCT8L2
Hs.128499	NCRNA00116
Hs.128574	C12orf12
Hs.128738	AIM1L
Hs.128814	CHIA
Hs.128938	RP1
Hs.129142	DNASE2B
Hs.129195	FAM53B
Hs.129227	MIOX
Hs.129278	LOC729291
Hs.129293	FAM71A
Hs.129312	C17orf64
Hs.129435	EPHA10
Hs.129598	FSIP1
Hs.129634	CINP
Hs.129702	BFSP1
Hs.129712	TREH
Hs.129780	TNFRSF4
Hs.129794	SPATA12
Hs.129828	LOC728705
Hs.129895	TBX3
Hs.129944	ESM1
Hs.129966	CNTFR
Hs.130014	CD302
Hs.130036	PPM1A
Hs.130054	ANKRD45
Hs.130098	DDX23
Hs.130497	FXYD4
Hs.130535	MGC39584
Hs.130672	C9orf79
Hs.130692	C12orf39
Hs.130704	SNTN
Hs.130712	ADCK4
Hs.130714	C19orf77
Hs.130722	LOC494558
Hs.130730	AQP2
Hs.130730	AQP2
Hs.130849	COG8
Hs.130949	SLC6A16
Hs.130957	PRTG
Hs.130988	DYRK1B
Hs.131035	GLTPD2
Hs.131098	FAM71F1
Hs.131179	DAZL
Hs.131226	BNIP3L
Hs.131255	UQCRB
Hs.131288	CAPZA3
Hs.131358	DPPA3
Hs.131361	PDHA2
Hs.131452	DHRSX
Hs.131469	C5orf47
Hs.131615	CCDC116
Hs.131654	DMRTB1
Hs.131673	GLCCI1
Hs.131740	LOC100216479
Hs.131824	LOC126536
Hs.131835	RHBG
Hs.131903	WDR27
Hs.132049	GPR37L1
Hs.132104	C2orf51
Hs.132194	MAGEC1
Hs.132195	TMPRSS11D
Hs.132310	PLAC1L
Hs.132314	ELTD1
Hs.132342	LPIN2
Hs.132370	CSTF2
Hs.132441	MARCH3
Hs.132448	CD1C
Hs.132513	HSD17B12
Hs.132599	DOCK8
Hs.132629	FHDC1
Hs.132648	THEM5
Hs.132781	IL27RA
Hs.132902	CAP2
Hs.132957	TNMD
Hs.132992	ABCG5
Hs.132992	ABCG5
Hs.133044	RPTOR
Hs.133095	RBM46
Hs.133107	PVT1
Hs.133977	DNAH14
Hs.133998	CRIPT
Hs.134012	C1QL1
Hs.134013	NKX6-2
Hs.134035	CD5L
Hs.134183	C1orf26
Hs.134194	DLX3
Hs.134292	PPAPDC3
Hs.134602	TTN
Hs.134623	RNF7
Hs.134729	FXYD7
Hs.134742	FAM20C
Hs.134958	RDH16
Hs.134974	GAP43
Hs.135646	ELF1
Hs.135787	SALL1
Hs.135997	PCYT1A
Hs.136164	TSPYL2
Hs.136235	LYSMD3
Hs.136313	LOC254559
Hs.136348	POSTN
Hs.136555	C2orf53
Hs.136778	USP10
Hs.136829	RFX3
Hs.136893	LRFN5
Hs.136905	HUWE1
Hs.136947	RALY
Hs.136979	RASAL3
Hs.137400	TUBA8
Hs.137510	NCOR2
Hs.137556	CDHR1
Hs.137569	TP63
Hs.138207	AGBL5
Hs.138701	TRAT1
Hs.139322	SPRR3
Hs.139322	SPRR3
Hs.139389	CST6
Hs.140309	SAMD1
Hs.140452	PLIN3
Hs.140944	FAM50B
Hs.140950	NECAB2
Hs.142307	DKFZP434I0714
Hs.143036	CABP4
Hs.143102	AOC2
Hs.143212	CST7
Hs.143436	PLG
Hs.143519	TEKT5
Hs.143545	SLC30A2
Hs.143587	USP27X
Hs.143600	GOLIM4
Hs.143674	RASGRP3
Hs.143751	MMP11
Hs.143792	LRFN3
Hs.143811	ODAM
Hs.143845	C14orf48
Hs.143878	FAM78A
Hs.143929	CLEC7A
Hs.143951	ZNF611
Hs.143961	CCL18
Hs.144114	CAMK2D
Hs.144197	UGT8
Hs.144372	C2CD4B
Hs.144491	IMP5
Hs.144496	GMDS
Hs.144683	LOC441601
Hs.144769	LOC200726
Hs.144894	CPHL1P
Hs.144936	IGF2BP1
Hs.145068	STAC2
Hs.145156	CAMKV
Hs.145284	NIF3L1
Hs.145384	GLYAT
Hs.145384	GLYAT
Hs.145404	PLCXD3
Hs.145519	FCAMR
Hs.145601	LOC728095
Hs.145932	MTL5
Hs.146079	C11orf61
Hs.146346	CCBP2
Hs.146542	NEGR1
Hs.146544	RSPH6A
Hs.146585	LEPROTL1
Hs.146591	BLK
Hs.146688	PTGES
Hs.146751	CNPY1
Hs.147054	HMGCLL1
Hs.147062	CNGB1
Hs.147111	ATP12A
Hs.147128	FAM194A
Hs.147276	C14orf166B
Hs.147313	CD300LG
Hs.147361	GRM5
Hs.147434	TRAF3IP3
Hs.147472	DNAI2
Hs.147585	FAM124B
Hs.147762	CCDC108
Hs.147816	MDH1B
Hs.147989	CACNG1
Hs.148090	CDH15
Hs.148342	POLR3D
Hs.148559	IMMT
Hs.148584	ZNF771
Hs.148768	DPY19L2P2
Hs.148778	OXR1
Hs.148907	SLC5A12
Hs.148907	SLC5A12
Hs.148970	ANO2
Hs.149020	GREB1L
Hs.149030	SLC25A31
Hs.149037	HTR2C
Hs.149098	SMTN
Hs.149103	ARSB
Hs.149133	LRRN4
Hs.149168	TNFRSF19
Hs.149252	CPS1
Hs.149342	AICDA
Hs.149360	ODF2L
Hs.149386	KPRP
Hs.149585	LGSN
Hs.149849	RNLS
Hs.149957	RPS6KA1
Hs.150120	CDHR3
Hs.150136	MAPK7
Hs.150208	KCNA5
Hs.150319	CRB3
Hs.150366	MATN1
Hs.150366	MATN1
Hs.150595	CYP26A1
Hs.150749	BCL2
Hs.150793	CHGA
Hs.150837	TXNDC5
Hs.150849	TMEM114
Hs.150956	EXTL1
Hs.151167	PPP3R2
Hs.151219	KIF5A
Hs.151761	KIAA0100
Hs.151777	EIF2S1
Hs.151787	EFTUD2
Hs.152009	GPR85
Hs.152096	CYP2J2
Hs.152129	LOC100131138
Hs.152385	KIAA1370
Hs.152475	ASCL2
Hs.152913	EMCN
Hs.152944	VWA5A
Hs.152978	PSME3
Hs.153003	STK16
Hs.153022	TAF1C
Hs.153322	PLCL1
Hs.153381	DARC
Hs.153563	LY75
Hs.153629	LOC729991
Hs.153714	C1QTNF7
Hs.153827	C14orf180
Hs.153837	MNDA
Hs.153952	NT5E
Hs.154001	FAM171A2
Hs.154069	MLANA
Hs.154296	TLL2
Hs.154494	C2orf47
Hs.154510	CBR3
Hs.154578	MYO7B
Hs.154578	MYO7B
Hs.154654	CYP1B1
Hs.154704	LHB
Hs.154829	LOC100129119
Hs.154986	CMTM8
Hs.155247	ALDOC
Hs.155569	CHAC1
Hs.155597	CFD
Hs.155644	PAX2
Hs.155651	FOXA2
Hs.155833	H1FNT
Hs.155919	PTPRK
Hs.155942	TRPM1
Hs.155975	PTPRCAP
Hs.156124	FLG2
Hs.156178	PGCP
Hs.156445	CD247
Hs.156471	TFCP2L1
Hs.156527	AXIN2
Hs.156540	SCG5
Hs.156625	AIDA
Hs.156667	CALCOCO1
Hs.157031	PIGN
Hs.157394	HAGH
Hs.157429	SOX3
Hs.157688	NR2E1
Hs.158311	MSI1
Hs.158322	SLC18A1
Hs.158357	C6orf130
Hs.158460	CDK5R2
Hs.158688	EIF5B
Hs.159006	ZNF800
Hs.159043	LOC151658
Hs.159118	AMD1
Hs.159161	ARHGDIA
Hs.159274	ODF1
Hs.159306	ABR
Hs.159311	DKK4
Hs.159360	PTGER1
Hs.159481	B4GALNT1
Hs.159494	BTK
Hs.159538	MPPED1
Hs.159546	ABCD1
Hs.159628	SERPINA5
Hs.159650	IQUB
Hs.160411	TSHR
Hs.160550	SLC43A2
Hs.160562	IGF1
Hs.160594	PASD1
Hs.160786	ASS1
Hs.160954	GPBAR1
Hs.161031	SYT8
Hs.161839	MMP8
Hs.161851	KCNQ2
Hs.161985	TMPRSS4
Hs.162397	INTS9
Hs.162754	LIM2
Hs.162777	POLE2
Hs.162795	HSD17B2
Hs.162807	TFF1
Hs.162996	DYM
Hs.163070	C9orf11
Hs.163451	PYCR1
Hs.163484	FOXA1
Hs.163776	UBE2J1
Hs.163909	ANO7
Hs.163990	FRMPD1
Hs.164021	CXCL6
Hs.164118	SLC5A11
Hs.164226	THBS1
Hs.164324	TRIM16L
Hs.164384	PKP2
Hs.164578	CADM2
Hs.164589	LYG1
Hs.164799	CCDC54
Hs.165296	KLK13
Hs.165636	DIRAS2
Hs.165724	CHST8
Hs.165859	ANTXR1
Hs.165950	FGFR4
Hs.166109	ELAVL2
Hs.166206	CUBN
Hs.166244	FAM173A
Hs.166539	ITGB3BP
Hs.166556	CD37
Hs.167017	GABBR1
Hs.167317	SNAP25
Hs.167368	CTNNA2
Hs.167496	RANBP6
Hs.167584	SLC2A2
Hs.167584	SLC2A2
Hs.167595	FLJ43944
Hs.167750	RFPL1S
Hs.167805	EPC1
Hs.168718	AFM
Hs.168718	AFM
Hs.169047	NCAN
Hs.169222	ACRV1
Hs.169246	MAGEA12
Hs.169487	MAFB
Hs.169615	C8orf33
Hs.169797	BOLL
Hs.169840	TTK
Hs.170009	TGFA
Hs.170076	VCX3A
Hs.170310	CECR1
Hs.170358	FLJ16341
Hs.170388	MARCH4
Hs.170563	TSPAN8
Hs.170568	TATDN1
Hs.170622	CFL1
Hs.170819	BRSK2
Hs.170839	PLN
Hs.170904	GRTP1
Hs.170944	CYTH4
Hs.170986	GALNT3
Hs.170999	TRANK1
Hs.171054	CDH6
Hs.171057	IGSF3
Hs.171130	SPATA17
Hs.171182	CD86
Hs.171626	SKP1
Hs.171695	DUSP1
Hs.171995	KLK3
Hs.172587	RAD51L1
Hs.172631	ITGAM
Hs.172685	XPO7
Hs.172884	SLC8A2
Hs.172928	COL1A1
Hs.172982	C11orf87
Hs.173464	FKBP8
Hs.173524	KIAA0430
Hs.173679	C1orf228
Hs.173716	ADAM33
Hs.173724	CKB
Hs.173840	ESAM
Hs.173878	NIPSNAP1
Hs.174103	ITGAL
Hs.174249	CDX2
Hs.174424	SLC22A12
Hs.174768	RAPGEF5
Hs.175220	SLC7A3
Hs.175934	GABRA1
Hs.176588	CYP4Z1
Hs.176615	COLEC10
Hs.176615	COLEC10
Hs.176977	OLIG2
Hs.177164	VSIG1
Hs.177446	CA5A
Hs.177861	SF3B14
Hs.177926	LOC81691
Hs.177927	NCRNA00277
Hs.177959	ADAM2
Hs.177968	LOC440981
Hs.177984	ADAM20
Hs.178066	MS4A5
Hs.178098	ACE2
Hs.178098	ACE2
Hs.178210	C3orf22
Hs.178305	PIGK
Hs.178551	RPL8
Hs.179080	SLC32A1
Hs.179312	SNAPC1
Hs.179646	TMCO5A
Hs.179704	MEP1A
Hs.179718	MYBL2
Hs.179915	GNG3
Hs.179986	FLOT1
Hs.180142	CALML5
Hs.180197	TDRG1
Hs.180197	TDRG1
Hs.180346	DHDPSL
Hs.180535	FERMT3
Hs.180877	H3F3B
Hs.180878	LPL
Hs.180903	NCAPH2
Hs.180909	PRDX1
Hs.180919	ID2
Hs.181289	CELA3A
Hs.181768	MYOD1
Hs.181781	GNGT2
Hs.182014	NCKAP1L
Hs.182137	HIST1H2BF
Hs.182215	ARL3
Hs.182385	HPN
Hs.182421	TNNC2
Hs.182971	KPNA5
Hs.183114	ARHGAP28
Hs.183153	ARL4D
Hs.183390	ZNF613
Hs.183656	VNN3
Hs.183671	TDO2
Hs.183684	EIF4G2
Hs.183953	FLJ31945
Hs.183994	PPP1CA
Hs.184085	CRYAA
Hs.184927	CYP11B1
Hs.185172	GNB2
Hs.185777	TMIE
Hs.186350	RPL4
Hs.186363	SPERT
Hs.187058	DTX2
Hs.187284	PAPPA2
Hs.187338	MYL1
Hs.187354	NR2E3
Hs.187376	IFT88
Hs.187461	FBXO27
Hs.187694	CPLX3
Hs.188591	TMEM135
Hs.188982	SLC22A10
Hs.189067	LOC646484
Hs.189183	TCTE1
Hs.189184	UBQLN3
Hs.189409	FNBP1
Hs.189507	PLA2G2D
Hs.189585	DIP2A
Hs.189652	C7orf58
Hs.190028	GSTO1
Hs.190495	GPNMB
Hs.190783	HAL
Hs.190877	C9orf66
Hs.190977	ENPP2
Hs.191330	LOC100130642
Hs.191705	DQX1
Hs.191734	MGST3
Hs.191842	CDH3
Hs.191842	CDH3
Hs.192090	C1orf65
Hs.192371	DSCR8
Hs.192374	HSP90B1
Hs.192859	PCDH10
Hs.193163	BIN1
Hs.193235	CPLX2
Hs.193640	HAO1
Hs.193745	C2orf54
Hs.193842	TDRD7
Hs.194333	E2F2
Hs.194609	SLFNL1
Hs.194610	C1orf94
Hs.194659	CLCA1
Hs.194684	BSN
Hs.194692	NFS1
Hs.194698	CCNB2
Hs.194718	ZRANB2
Hs.194721	NCR2
Hs.194754	C1orf107
Hs.194778	CXCR1
Hs.194783	SLC10A2
Hs.195040	HSD11B1
Hs.195080	ECE1
Hs.195155	SLC38A5
Hs.195292	SAGE1
Hs.195464	FLNA
Hs.195685	CMTM2
Hs.195740	AATF
Hs.195922	SP8
Hs.197015	SNX7
Hs.197029	ADORA2A
Hs.197043	MAN1C1
Hs.197320	TLE1
Hs.197354	TDRD5
Hs.197801	FAM47B
Hs.198072	PDE4B
Hs.198241	AOC3
Hs.198269	NDUFA3
Hs.198365	BPGM
Hs.199625	HAX1
Hs.200022	PL-5283
Hs.200063	HDAC7
Hs.200136	ACAA2
Hs.200596	LCMT2
Hs.200943	NARG2
Hs.201058	STMN4
Hs.201446	PERP
Hs.201634	UGT2B10
Hs.201667	AKR1D1
Hs.202095	EMX2
Hs.202247	OTP
Hs.202521	C8orf79
Hs.202526	SOX1
Hs.202656	C2CD4A
Hs.202656	C2CD4A
Hs.202672	DNMT1
Hs.202676	SYCP2
Hs.203099	WAPAL
Hs.203637	PLS1
Hs.203717	FN1
Hs.204041	AHSA1
Hs.204238	LCN2
Hs.204449	ZNF470
Hs.204619	C2orf60
Hs.204947	PLAC9
Hs.205178	VWA5B1
Hs.205572	KIAA0922
Hs.205816	SLC17A1
Hs.205816	SLC17A1
Hs.207106	SYNM
Hs.207459	ST6GAL1
Hs.207465	MS4A15
Hs.207471	PROCA1
Hs.207538	JAK1
Hs.207603	CBLN3
Hs.208124	ESR1
Hs.208219	TSPAN10
Hs.208343	GAL3ST3
Hs.208673	NMNAT3
Hs.208701	C18orf54
Hs.208854	CD69
Hs.208912	CENPM
Hs.209151	LYRM5
Hs.209153	ANGPTL3
Hs.209206	ACTL9
Hs.209527	NRK
Hs.210343	BCL2L14
Hs.210377	CCDC38
Hs.210546	IL21R
Hs.210862	TBR1
Hs.211046	WDR88
Hs.211092	PLUNC
Hs.211463	DNM2
Hs.211600	TNFAIP3
Hs.211823	TIGD1
Hs.211929	TXN2
Hs.212172	BCMO1
Hs.212293	G6PC
Hs.212360	DNAH5
Hs.212395	CIZ1
Hs.212511	IGSF21
Hs.212680	TNFRSF18
Hs.212838	A2M
Hs.213050	ELAVL4
Hs.213061	NUCKS1
Hs.213198	PSPC1
Hs.213284	SLC6A18
Hs.213307	DCAF4L1
Hs.213424	SFRP1
Hs.213603	MFSD6L
Hs.213762	WDR49
Hs.214343	HULC
Hs.218366	KLK4
Hs.219140	NPPB
Hs.220844	SLC22A11
Hs.220971	FOSL2
Hs.221436	RBMS3
Hs.221513	LOC100287366
Hs.222282	CCDC132
Hs.222494	NOL10
Hs.223581	DDX4
Hs.223806	TAF7L
Hs.224698	PROC
Hs.225084	C10orf95
Hs.225356	CDC42EP1
Hs.225941	SLC22A13
Hs.225941	SLC22A13
Hs.225946	CCR9
Hs.226268	C6orf58
Hs.226390	RRM2
Hs.226390	RRM2
Hs.226422	C12orf59
Hs.226483	DIAPH2
Hs.226568	ABCA13
Hs.226568	ABCA13
Hs.227011	C7orf16
Hs.227098	GCM2
Hs.227752	TECRL
Hs.227817	BCL2A1
Hs.227948	SERPINB3
Hs.228320	C10orf81
Hs.229335	KREMEN1
Hs.229641	SUB1
Hs.231367	IL2RA
Hs.231829	GAD2
Hs.231897	TEX19
Hs.231942	YTHDC2
Hs.232165	CD177
Hs.232165	CD177
Hs.233160	STC2
Hs.233220	LIME1
Hs.233240	COL6A3
Hs.233363	GUCA1C
Hs.233389	CPVL
Hs.233552	CDK13
Hs.233950	SPINT1
Hs.234521	MAPKAPK3
Hs.234569	ZAP70
Hs.234642	AQP3
Hs.234642	AQP3
Hs.234742	LPO
Hs.234759	FEV
Hs.234775	NRTN
Hs.234786	ACOT11
Hs.234896	GMNN
Hs.234898	ACACB
Hs.235167	ZNF701
Hs.235782	SLCO4A1
Hs.235873	PAQR6
Hs.235935	NOV
Hs.236361	RBM38
Hs.236449	DENND1C
Hs.236557	NCRNA00253
Hs.236572	C21orf58
Hs.236635	ACTRT2
Hs.236646	HOXD9
Hs.236774	HMGN4
Hs.236896	LOC729059
Hs.236940	CEP76
Hs.237028	NPR3
Hs.237642	KLKB1
Hs.237658	APOA2
Hs.239499	PDCD11
Hs.239631	COG5
Hs.239676	C7orf34
Hs.239718	SCRN2
Hs.240053	GSG1
Hs.240845	ARHGEF26
Hs.241407	SERPINB13
Hs.241517	POLQ
Hs.241523	FEZF2
Hs.241551	CLCA2
Hs.241564	DAGLA
Hs.241570	TNF
Hs.241570	TNF
Hs.241586	LY6G6C
Hs.241597	SLC6A7
Hs.242014	CLRN3
Hs.242057	CRNN
Hs.242821	SLC17A6
Hs.243272	NKX2-3
Hs.243564	CD48
Hs.243987	GATA4
Hs.243994	DEAF1
Hs.244569	SPINK7
Hs.244723	CCNE1
Hs.245476	LOC100144604
Hs.246112	SNRNP200
Hs.246769	LOC100129827
Hs.247565	RHO
Hs.247868	LOC100329135
Hs.247888	GNG13
Hs.247940	HTR1A
Hs.248017	GAPDHS
Hs.248017	GAPDHS
Hs.248122	MCHR1
Hs.248137	LOC100128264
Hs.248156	OSM
Hs.310545	SYT1
Hs.310640	TIFA
Hs.310893	CSDC2
Hs.310958	PSORS1C1
Hs.348390	IL33
Hs.348418	DR1
Hs.348419	MUCL1
Hs.348526	LOC474358
Hs.348609	PARP10
Hs.348618	TRIML1
Hs.348645	C2orf65
Hs.348700	CCDC27
Hs.380689	ANKRD30BL
Hs.380704	C17orf74
Hs.380781	DEFA1
Hs.389669	TMEM88
Hs.389700	MGST1
Hs.389996	CHCHD2
Hs.390221	TEX14
Hs.390285	LOC643201
Hs.390567	FYN
Hs.436102	AEN
Hs.436121	CCDC112
Hs.436166	OSBPL5
Hs.436181	HOXB7
Hs.436214	ANKRD55
Hs.436215	PATE4
Hs.436219	ALDH1B1
Hs.444969	MEMO1
Hs.445000	PTGER3
Hs.445019	ZNF84
Hs.445030	RHOBTB3
Hs.248192	FGF17
Hs.248204	CER1
Hs.248217	RBPJL
Hs.248267	MPST
Hs.248437	ERI2
Hs.249184	POU5F1
Hs.249217	CD1E
Hs.249718	EIF4E
Hs.250015	LRFN2
Hs.250493	ZNF219
Hs.250615	CYP2A6
Hs.250632	KLHL26
Hs.250666	HES1
Hs.250758	PSMC3
Hs.250760	COX6A2
Hs.250959	HTN1
Hs.251391	CLDN16
Hs.251399	HRH3
Hs.251526	CCL7
Hs.251531	PSMA4
Hs.251680	LOR
Hs.252180	DYSF
Hs.252457	MVD
Hs.252707	C17orf105
Hs.252714	FREM3
Hs.252820	PGF
Hs.253495	SFTPD
Hs.253576	CCDC147
Hs.253920	LOC400643
Hs.253994	FREM2
Hs.254338	GBP6
Hs.254414	SRSF12
Hs.254699	UGT3A1
Hs.254775	ISLR2
Hs.254808	IQCF3
Hs.255462	MSMB
Hs.255874	C14orf93
Hs.256022	RORC
Hs.256126	BIRC7
Hs.256526	NARF
Hs.256747	SPAG8
Hs.257045	BPIL1
Hs.258314	BRE
Hs.258563	FEZ2
Hs.258575	WNT2B
Hs.258576	CDK14
Hs.258855	MLL
Hs.259046	C3orf55
Hs.259412	C1orf63
Hs.260074	CYP19A1
Hs.262480	C17orf100
Hs.262886	INPP5D
Hs.262960	TRPC4
Hs.265174	RPL32
Hs.265829	ITGA3
Hs.266175	PAG1
Hs.266223	SLC22A8
Hs.266331	FCRLA
Hs.266826	ARMC8
Hs.267038	POF1B
Hs.267245	TMEM209
Hs.267765	LRRC63
Hs.268554	CYP4F8
Hs.268742	POMP
Hs.268788	NRAP
Hs.268849	GLO1
Hs.268869	C8orf46
Hs.268963	UBAP1
Hs.269151	OR2W3
Hs.269471	NAPB
Hs.269512	FSTL1
Hs.269546	C2orf73
Hs.269745	FAM19A2
Hs.269764	BACH2
Hs.269782	GNAQ
Hs.269977	VWA3B
Hs.270279	TYRP1
Hs.270303	PAX6
Hs.270303	PAX6
Hs.270621	TAF5L
Hs.270753	TMEM130
Hs.271135	ATP5C1
Hs.271272	BTBD11
Hs.271285	COL20A1
Hs.271387	CCL8
Hs.271605	ADAMTS8
Hs.271643	LMBRD1
Hs.271791	ATR
Hs.271819	MUC17
Hs.271896	ABHD12B
Hs.271940	ELF4
Hs.271954	TSPAN32
Hs.272062	PTPRF
Hs.272212	CDH9
Hs.272259	IGF2
Hs.272396	AMBN
Hs.272409	TBX21
Hs.272499	DHRS2
Hs.272789	MS4A12
Hs.272813	DUOX1
Hs.272838	LMBR1L
Hs.272927	SEC23A
Hs.274135	LRWD1
Hs.274285	RFPL3S
Hs.274309	AHSP
Hs.274407	PRSS16
Hs.274430	SURF6
Hs.274531	SKIV2L2
Hs.274772	RSL24D1
Hs.275243	S100A6
Hs.275352	C14orf109
Hs.276287	FAM81B
Hs.276878	NUP93
Hs.278064	ZNF37BP
Hs.278362	MEA1
Hs.278429	C9orf78
Hs.278432	MYH6
Hs.278489	MATN4
Hs.278513	LOC390705
Hs.278573	CD59
Hs.278695	SLC45A3
Hs.278957	RAX
Hs.278959	GAL
Hs.278962	SLC45A2
Hs.279008	MCM9
Hs.279413	POLD1
Hs.279611	DMBT1
Hs.279640	TPR
Hs.279652	MRPL4
Hs.279709	TRIM63
Hs.279709	TRIM63
Hs.279806	DDX5
Hs.279832	DOK4
Hs.279837	GSTM2
Hs.279887	AIPL1
Hs.279906	CCNT1
Hs.280130	RPS24
Hs.280342	PRKAR1A
Hs.280658	PRSS33
Hs.280782	BEST3
Hs.281342	ADORA3
Hs.281564	ROM1
Hs.281902	SUGT1
Hs.282079	MIXL1
Hs.282089	IRX2
Hs.282244	PGLYRP2
Hs.282326	RCAN1
Hs.282624	CYP2C9
Hs.282624	CYP2C9
Hs.282670	MAT1A
Hs.282670	MAT1A
Hs.282931	SLC17A4
Hs.283011	ADAM30
Hs.283014	SLC24A2
Hs.283127	DIAPH3
Hs.283322	C11orf73
Hs.283369	TRPV5
Hs.283521	RHEB
Hs.283734	MRPL47
Hs.283741	EXOSC5
Hs.283749	ANG
Hs.283764	FBXO24
Hs.283923	APOA5
Hs.283963	G6PC2
Hs.284122	WIF1
Hs.284244	FGF2
Hs.284255	ALPP
Hs.284414	HSD17B13
Hs.284712	BAAT
Hs.285887	UGT2B4
Hs.286131	DERL2
Hs.286194	SLC24A6
Hs.286226	MYO1C
Hs.287379	WDFY4
Hs.287412	ARMC10
Hs.287532	PRDM14
Hs.287735	TRIM46
Hs.287759	C20orf107
Hs.287765	KCNK16
Hs.288034	SLC39A8
Hs.288193	KPNA4
Hs.288224	MRPL50
Hs.288229	STXBP1
Hs.288304	FAM76B
Hs.288382	CENPT
Hs.288467	LRRC15
Hs.288655	OTX2
Hs.288800	FUZ
Hs.288927	C10orf79
Hs.288954	C3orf58
Hs.288959	ACSF2
Hs.288998	S100A14
Hs.289044	GPX8
Hs.289052	BCL2L12
Hs.289092	COTL1
Hs.289105	SSX2
Hs.290404	SLC25A3
Hs.291196	ATP1B1
Hs.291212	TBCA
Hs.291363	CHEK2
Hs.291487	CAPN8
Hs.292177	SLC27A5
Hs.292265	ZMYND11
Hs.292356	CYBB
Hs.292449	FCRL3
Hs.292457	SNHG5
Hs.292549	DLG1
Hs.292579	PTDSS1
Hs.292804	RNF34
Hs.292925	CCDC88A
Hs.292949	INO80
Hs.292986	TBCK
Hs.293130	VNN2
Hs.293317	PAGE2B
Hs.293560	AMZ2
Hs.293653	RPL17
Hs.293842	TMEM71
Hs.293917	PVRL3
Hs.293970	ALDH6A1
Hs.294005	G6PC3
Hs.294009	ZMYND12
Hs.295012	LOC285000
Hs.295137	AMFR
Hs.295449	PVALB
Hs.296049	MFAP4
Hs.296310	GJA4
Hs.296776	RFXANK
Hs.296942	KRT34
Hs.297389	QRICH1
Hs.297413	MMP9
Hs.297413	MMP9
Hs.298023	AQP5
Hs.298089	ZNF227
Hs.298252	ACSM2A
Hs.298280	ATP5A1
Hs.298312	HORMAD1
Hs.298351	ASPSCR1
Hs.298654	DUSP6
Hs.298713	C10orf99
Hs.298851	FAR2
Hs.298990	SMARCA2
Hs.299055	GDI2
Hs.299127	KCTD19
Hs.299315	DPYSL5
Hs.299567	GPR44
Hs.300141	RPL39
Hs.300304	ARX
Hs.300684	CRCP
Hs.300701	TUBB2B
Hs.300774	FGB
Hs.301853	RAB34
Hs.301865	DCT
Hs.301960	FATE1
Hs.301989	STAB1
Hs.302028	DPEP3
Hs.302130	ELOVL3
Hs.302145	HBG2
Hs.302257	SLC9A9
Hs.302513	BEST4
Hs.302740	TRPV6
Hs.302742	MRPS6
Hs.303023	TUBB1
Hs.303454	EXOC6B
Hs.303527	GABRB2
Hs.303669	SLC25A42
Hs.303747	LOC100130231
Hs.303923	TKTL2
Hs.303980	CYP11A1
Hs.304020	CALR3
Hs.304249	UGCG
Hs.306000	SLC4A1AP
Hs.306051	WNT5B
Hs.306199	GPR84
Hs.306212	ATP8B3
Hs.306242	NOL7
Hs.306412	SH2D3C
Hs.306769	RUFY1
Hs.306791	POLD2
Hs.306814	LOXL4
Hs.307043	ZNF554
Hs.307052	LDHAL6B
Hs.307086	FSCB
Hs.307096	LACRT
Hs.307999	EXD1
Hs.308045	NCAPH
Hs.308074	C9orf5
Hs.308332	RPL10L
Hs.308340	NUP188
Hs.309158	CD200R1
Hs.309467	EPN2
Hs.309767	STK31
Hs.310164	LRRC50
Hs.310247	FLJ36000
Hs.310333	SIGLEC5
Hs.310399	SHF
Hs.310456	PIK3AP1
Hs.311640	RPS27A
Hs.312592	EMX2OS
Hs.313343	CD300LB
Hs.313471	KIAA1683
Hs.314114	LOC348021
Hs.314359	EIF3K
Hs.315137	AARS
Hs.315177	IFRD2
Hs.315186	PCSK2
Hs.316564	LOC146481
Hs.316750	PCGF1
Hs.317632	CDH18
Hs.317659	DPPA4
Hs.319334	NASP
Hs.319438	PLA2G5
Hs.320147	C4orf7
Hs.320892	ADCY10
Hs.321045	IKBKE
Hs.322430	NDRG4
Hs.322431	NEUROD2
Hs.323308	SPRY4
Hs.324104	C20orf144
Hs.324335	CATSPERG
Hs.324746	AHSG
Hs.325321	WDR18
Hs.325838	PHRF1
Hs.325978	NUMA1
Hs.326217	NTN5
Hs.326303	C12orf74
Hs.326528	SPATA8
Hs.326728	C19orf30
Hs.326953	NUMBL
Hs.327179	SLC17A3
Hs.327794	STOML3
Hs.329266	HIP1
Hs.330384	CORO1C
Hs.331148	UROC1
Hs.332012	IGSF8
Hs.332119	SLC22A25
Hs.332197	PXDN
Hs.333175	PLA2G12B
Hs.333297	SPOPL
Hs.333388	EEF1D
Hs.333497	CYP2D7P1
Hs.333503	RNF38
Hs.333958	SLC4A10
Hs.334003	C12orf71
Hs.334019	CR1
Hs.334176	SMC1B
Hs.334177	LOC388813
Hs.334274	SPINK6
Hs.334347	CKM
Hs.334464	SPANXA1
Hs.334515	ZSCAN10
Hs.334534	GNS
Hs.334629	SLN
Hs.334688	PHYHIP
Hs.334907	TIMD4
Hs.334989	KRT77
