"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.29052"	"thymus"	6.93e-21	5.437365561	"dbEST"
"Hs.19192"	"thymus"	4.46e-21	4.870921636	"dbEST"
"Hs.553971"	"thymus"	3.68e-21	7.059143339	"dbEST"
"Hs.443116"	"thymus"	2.84e-21	5.108001543	"dbEST"
"Hs.73797"	"thymus"	2.73e-21	5.894180578	"dbEST"
"Hs.715778"	"thymus"	1.47e-21	4.212735898	"dbEST"
"Hs.656185"	"thymus"	1.42e-21	5.261017729	"dbEST"
"Hs.197029"	"thymus"	5.34e-22	5.813297913	"dbEST"
"Hs.695168"	"thymus"	3.1e-22	4.392137705	"dbEST"
"Hs.516245"	"thymus"	1.28e-22	7.052861844	"dbEST"
"Hs.440955"	"thymus"	5.94e-23	4.27775543	"dbEST"
"Hs.512668"	"thymus"	4.95e-23	6.977565634	"dbEST"
"Hs.288382"	"thymus"	2.98e-23	4.747983536	"dbEST"
"Hs.568007"	"thymus"	1.31e-23	6.711531274	"dbEST"
"Hs.683896"	"thymus"	1.02e-23	6.996584019	"dbEST"
"Hs.728206"	"thymus"	3.86e-24	5.227306515	"dbEST"
"Hs.502875"	"thymus"	3.26e-24	4.454395848	"dbEST"
"Hs.621851"	"thymus"	1.41e-24	6.110168187	"dbEST"
"Hs.130098"	"thymus"	8.63e-25	4.3046926	"dbEST"
"Hs.654470"	"thymus"	3.55e-25	4.747404814	"dbEST"
"Hs.406277"	"thymus"	1.35e-25	4.898313525	"dbEST"
"Hs.630409"	"thymus"	9.97e-26	7.072427502	"dbEST"
"Hs.272838"	"thymus"	2.39e-26	5.870566149	"dbEST"
"Hs.647086"	"thymus"	1.49e-26	4.620695424	"dbEST"
"Hs.191842"	"thymus"	1.3e-26	4.367531164	"dbEST"
"Hs.156667"	"thymus"	5.77e-27	4.59712413	"dbEST"
"Hs.466987"	"thymus"	3.01e-27	5.414189684	"dbEST"
"Hs.259412"	"thymus"	1.71e-27	5.000241333	"dbEST"
"Hs.436401"	"thymus"	5.42e-28	5.478019396	"dbEST"
"Hs.728807"	"thymus"	2.25e-28	7.067741645	"dbEST"
"Hs.256526"	"thymus"	1.22e-28	5.632053132	"dbEST"
"Hs.210546"	"thymus"	4.13e-29	5.60072274	"dbEST"
"Hs.419259"	"thymus"	1.5e-29	6.026535482	"dbEST"
"Hs.256022"	"thymus"	7.67e-30	6.364651082	"dbEST"
"Hs.633653"	"thymus"	3.62e-30	5.144214571	"dbEST"
"Hs.591269"	"thymus"	7.92e-32	6.853835738	"dbEST"
"Hs.604001"	"thymus"	1.32e-32	4.405303234	"dbEST"
"Hs.148269"	"thymus"	9.75e-33	7.019426313	"dbEST"
"Hs.436166"	"thymus"	8.87e-33	6.360168915	"dbEST"
"Hs.475902"	"thymus"	7.14e-33	6.218122573	"dbEST"
"Hs.661756"	"thymus"	6.28e-33	6.762339416	"dbEST"
"Hs.132448"	"thymus"	2.84e-33	6.702607169	"dbEST"
"Hs.501778"	"thymus"	2.73e-33	4.62908853	"dbEST"
"Hs.234569"	"thymus"	1.31e-33	5.679963356	"dbEST"
"Hs.655643"	"thymus"	5.31e-34	4.572288888	"dbEST"
"Hs.726756"	"thymus"	4.53e-34	7.071892349	"dbEST"
"Hs.479116"	"thymus"	3e-34	6.021574942	"dbEST"
"Hs.654445"	"thymus"	2.91e-34	6.96610943	"dbEST"
"Hs.524399"	"thymus"	2.88e-35	5.741490856	"dbEST"
"Hs.632176"	"thymus"	1.43e-35	5.079427218	"dbEST"
"Hs.725198"	"thymus"	3.39e-36	5.981374074	"dbEST"
"Hs.523739"	"thymus"	3.76e-37	4.523813659	"dbEST"
"Hs.497492"	"thymus"	1.72e-37	5.294029882	"dbEST"
"Hs.558348"	"thymus"	8.1e-38	6.619097609	"dbEST"
"Hs.437647"	"thymus"	4.36e-38	5.703097174	"dbEST"
"Hs.125036"	"thymus"	3.7e-38	5.048316138	"dbEST"
"Hs.618145"	"thymus"	8.68e-39	4.473955702	"dbEST"
"Hs.438720"	"thymus"	2.44e-39	4.060355816	"dbEST"
"Hs.709070"	"thymus"	1.31e-39	4.61629682	"dbEST"
"Hs.156445"	"thymus"	9.49e-40	6.849929838	"dbEST"
"Hs.573490"	"thymus"	4.13e-40	6.061032918	"dbEST"
"Hs.654389"	"thymus"	1.33e-40	4.991961131	"dbEST"
"Hs.200063"	"thymus"	6.25e-42	5.12654581	"dbEST"
"Hs.124922"	"thymus"	3.16e-42	5.271970009	"dbEST"
"Hs.449320"	"thymus"	1.45e-43	5.787128995	"dbEST"
"Hs.174103"	"thymus"	1.27e-43	5.163621055	"dbEST"
"Hs.399800"	"thymus"	1.02e-43	5.02584688	"dbEST"
"Hs.632326"	"thymus"	6.2e-44	4.790264433	"dbEST"
"Hs.572535"	"thymus"	4.64e-44	6.309534297	"dbEST"
"Hs.523660"	"thymus"	6.35e-45	6.755451837	"dbEST"
"Hs.713605"	"thymus"	5e-45	7.043263459	"dbEST"
"Hs.728168"	"thymus"	3.53e-45	4.711126928	"dbEST"
"Hs.118983"	"thymus"	2.23e-48	5.139407416	"dbEST"
"Hs.225946"	"thymus"	1.3e-49	6.735771742	"dbEST"
"Hs.437126"	"thymus"	1.24e-49	5.185150601	"dbEST"
"Hs.567598"	"thymus"	4.35e-50	4.869817366	"dbEST"
"Hs.469175"	"thymus"	1.35e-50	5.385918379	"dbEST"
"Hs.411081"	"thymus"	1.81e-51	5.746748047	"dbEST"
"Hs.402773"	"thymus"	1.6e-54	5.891054389	"dbEST"
"Hs.349094"	"thymus"	9.86e-56	4.803655405	"dbEST"
"Hs.147434"	"thymus"	1.44e-56	5.675559576	"dbEST"
"Hs.505806"	"thymus"	4.26e-58	5.56716835	"dbEST"
"Hs.79322"	"thymus"	4.44e-59	4.412602704	"dbEST"
"Hs.356769"	"thymus"	3.79e-62	4.892040953	"dbEST"
